Shanghai	상하이
Wiig	위그
Kristen	크리스틴
Covey	커비
Stephen R	스티븐
Pakula	퍼쿨라
Alan J	앨런
Hearst	허스트
George Randolph	조지 랜돌프
barbecue pork rib	바비큐포크립
bust shot	버스트숏
body scrub	보디 스크럽
body therapy	보디세러피
shaggy cut	섀기 커트
app	앱
eggnog	에그노그
Queens Park Rangers	퀸스파크 레인저스
popping candy	파핑캔디
pet shop	펫숍
HACCP	해썹
hipline	힙라인
Little	리틀
Janna	재나
dot net	닷넷
dot com	닷컴
fashionist	패셔니스트
fitness center	피트니스센터
Duncan	덩컨
Michael Clarke	마이클 클라크
Browne	브라운
Malcolm	맬컴
Bacharach	배커랙
Burt	버트
Brown	브라운
Helen Gurley	헬렌 걸리
decanting	디캔팅
David	데이비드
Hal	핼
Stevens	스티븐스
J Christopher	크리스토퍼
early adopter	얼리 어답터
Neeson	니슨
Liam	리엄
Watson	왓슨
John	존
Hamlisch	햄리시
Marvin	마빈
Grunstein	그룬스타인
Michael	마이클
canyoning	캐니어닝
King	킹
Karen	캐런
DSLR	디에스엘아르
Lachowicz	러호비치
Colleen	콜린
Armstrong	암스트롱
Neil	닐
Thompson	톰프슨
Mark	마크
Fenwick	펜윅
Lex	렉스
von Hippel	폰히펠
Frank N	프랭크
Gurdon	거던
John	존
Lefkowitz	레프코위츠
Robert	로버트
Roth	로스
Alvin	앨빈
Shapley	섀플리
Lloyd S	로이드
Wineland	와인랜드
David J	데이비드
Kobilka	코빌카
Brian	브라이언
visual basic	비주얼베이식
sunken garden	성큰가든
short coat	쇼트코트
short pants	쇼트팬츠
integrase	인터그레이스
implant	임플란트
Campbell	캠벨
Keith H.S.	키스
zip-line	집라인
colloquium	컬로퀴엄
Reeves	리브스
Keanu	키아누
Chu	추
Judy	주디
Key	키
Margaret Frances	마거릿 프랜시스
Boca Raton	보카러톤
collaboration	컬래버레이션
Nolan	놀런
Christopher	크리스토퍼
Dufner	더프너
Jason	제이슨
Romney	롬니
George W	조지
Kinzinger	킨징어
Adam	애덤
Morell	모렐
Michael	마이클
Pierson	피어슨
Frank	프랭크
duration	듀레이션
Levine	러빈
Adam	애덤
Han Suyin	한 수인
mesotherapy	메소세러피
seigniorage	시뇨리지
aromatherapy	아로마세러피
angel food	에인절 푸드
Rattray	래트레이
Ben	벤
Chen	천
Royce	로이스
Ed	에드
Bombardier	봉바르디에
Joseph-Armand	조제프아르망
Moore	무어
Patrick	패트릭
Saadiq	서디크
Raphael	래피얼
McDonough	맥도너
Denis R	데니스
Brennan	브레넌
John O	존
Jewell	주얼
Sally	샐리
Cordray	코드레이
Richard	리처드
Deeble	디블
Jon	존
Dening	데닝
Mitch	미치
de San Miguel	데산미겔
Allan	앨런
Davies	데이비스
Josh	조시
Russell	러셀
Andrew	앤드루
Roberts	로버츠
Joshua	조슈아
Rowland-Smith	롤런드스미스
Ryan	라이언
Ruzic	루지치
Dushan	두샨
Moylan	모일런
Peter	피터
Bright	브라이트
Adam	애덤
Searle	설
Ryan	라이언
Saupold	소폴드
Warwick	워릭
Snelling	스넬링
Chris	크리스
Adamson	애덤슨
Corey	코리
Oxspring	옥스스프링
Chris	크리스
Wise	와이즈
Brendan	브렌던
Walker	워커
Mike	마이크
Welch	웰치
Stefan	스테펀
Williams	윌리엄스
Matthew	매슈
Kennelly	케널리
Matt	맷
Kennelly	케널리
Tim	팀
Kent	켄트
Steven	스티븐
Tanner	태너
Clayton	클레이턴
Thomas	토머스
Brad	브래드
Harman	하먼
Brad	브래드
Huber	휴버
Justin	저스틴
Hughes	휴스
Luke	루크
Zeitlin	자이틀린
Benh	벤
Zumwalt	줌월트
James	제임스
Creative Commons License	크리에이티브 커먼즈 라이선스
Torre	토리
Joe	조
Bowa	보와
Larry	래리
Lachemann	래크먼
Marcel	마셀
Maddux	매덕스
Greg	그레그
Murphy	머피
Dale	데일
Perry	페리
Gerald	제럴드
Randolph	랜돌프
Willie	윌리
Trebelhorn	트레벌혼
Tom	톰
Dickey	디키
Bell	벨
Heath	히스
Bloomquist	블룸퀴스트
Willie	윌리
Vogelsong	보글송
Ryan	라이언
Rollins	롤린스
Jimmy	지미
Affeldt	애펄트
Jeremy	제러미
Victorino	빅토리노
Shane	셰인
Phillips	필립스
Brandon	브랜던
Zobrist	조브리스트
Ben	벤
Wright	라이트
David	데이비드
Braun	브론
Ryan	라이언
Mauer	마워
Joe	조
Perkins	퍼킨스
Glen	글렌
Boggs	보그스
Mitchell	미첼
Gregerson	그레거슨
Luke	루크
Jones	존스
Adam	애덤
Perez	페레스
Chris	크리스
Pestano	퍼스타노
Vinnie	비니
Arencibia	아렌시비아
Cishek	시셱
Steve	스티브
Detwiler	뎃와일러
Ross	로스
Holland	홀랜드
Derek	데릭
Lucroy	루크로이
Jonathan	조너선
Kimbrel	킴브럴
Craig	크레이그
Collins	콜린스
Tim	팀
Stanton	스탠턴
Giancarlo	장칼로
Torra	토라
Matt	맷
Collins	콜린스
Michael	마이클
Dale	데일
Phil	필
Harris	해리스
Tony	토니
Jelks	젤크스
Greg	그레그
Lloyd	로이드
Graeme	그레임
Williams	윌리엄스
Glenn	글렌
Davies	데이비스
Josh	조시
Lindsay	린지
Shane	셰인
Kennelly	케널리
Tim	팀
Beresford	베리스퍼드
James	제임스
Kandilas	캔딜러스
David	데이비드
Adamson	애덤슨
Corey	코리
Whitt	휫
Ernie	어니
Boucher	부셰
Denis	드니
Hamilton	해밀턴
Greg	그레그
Leiper	리퍼
Tim	팀
Quantrill	콴트릴
Paul	폴
Walker	워커
Larry	래리
Orr	오어
Pete	피트
Crain	크레인
Jesse	제시
Hill	힐
Shawn	숀
Morneau	머노
Justin	저스틴
Henderson	헨더슨
Jim	짐
Axford	액스퍼드
John	존
Malo	말로
Jonathan	조나탕
Votto	보토
Joey	조이
Leroux	레루
Chris	크리스
Loewen	로웬
Adam	애덤
Mathieson	매시슨
Scott	스콧
Molleken	몰리컨
Dustin	더스틴
Robinson	로빈슨
Chris	크리스
Albers	앨버스
Andrew	앤드루
Iorg	오지
Cale	케일
Magnuson	매그너슨
Trystan	트리스턴
Green	그린
Taylor	테일러
Saunders	손더스
Michael	마이클
Smith	스미스
Tim	팀
Tosoni	토소니
Rene	러네이
Gillies	길리스
Tyson	타이슨
Hardy	하디
Mark	마크
Aumont	오몽
Phillippe	필리프
Johnson	존슨
Jay	제이
Lawrie	로리
Brett	브렛
Taillon	타이언
Jameson	제임슨
Farley	팔리
Brian	브라이언
Larkin	라킨
Barry	배리
Sato Mitsuyoshi	사토 미쓰요시
Holmberg	홀름버그
William	윌리엄
McLaren	매클래런
John	존
Buskett	버스킷
Bob	밥
Howe	하우
Art	아트
Smith	스미스
Curt	커트
De Cuba	데쿠바
Quintin	킨틴
Strop	스트롭
Pedro	페드로
Gonzalez	곤살레스
Gio	지오
Schumacher	슈매커
Nick	닉
Infante	인판테
Juan	후안
Crabbe	크래브
Tim	팀
Burgos	부르고스
Hiram	히람
Lawrence	로런스
Jennifer	제니퍼
Burwell	버웰
Sylvia Mathews	실비아 매슈스
Withrow	위스로
Chris	크리스
Harang	허랭
Aaron	에런
Levada	러베이다
William	윌리엄
Loeb	러브
Vernon	버넌
Maciunas	머추너스
Broadwell	브로드웰
Paula	폴라
Amanpour	아만푸어
Matt	맷
Wallis	월리스
Walter	월터
Elisse	엘리스
White	화이트
Mary Jo	메리 조
Ethier	이시어
Andre	앤드리
Kapoor	커푸어
Kennedy	케네디
Caroline	캐럴라인
Federowicz	페더로비치
Tim	팀
Phoenix	피닉스
Joaquin	호아킨
Hagel	헤이글
Chuck	척
Beresford	베리스퍼드
James	제임스
Kandilas	캔딜러스
David	데이비드
popera	팝페라
McCarthy	매카시
Gina	지나
Judd	저드
Ashley	애슐리
Trout	트라우트
Mike	마이크
Perez	페레스
Thomas	토머스
Hathaway	해서웨이
Anne	앤
Chenault	셔놀트
Kenneth	케네스
Sherwood-Randall	셔우드랜들
Elizabeth	엘리자베스
Pierson	피어슨
Julia	줄리아
LaPierre	라피에어
Wayne	웨인
Breedlove	브리들러브
Philip M	필립
Malone	멀론
David	데이비드
Braun	브론
Scooter	스쿠터
Ebert	이버트
Roger	로저
Pulitzer	퓰리처
Lilly	릴리
McGregor	맥그리거
Ewan	이완
Monaco	모나코
Lisa	리사
Moniz	모니즈
Ernest	어니스트
Tarantino	타란티노
Quentin	쿠엔틴
Patchett	패칫
Ann	앤
agenda	어젠다
DiMarco	디마코
Chris	크리스
Boumelha	부멜라
Jim	짐
Yeutter	야이터
Clayton	클레이턴
Zients	자이언츠
Jeffrey	제프리
Tsarnaev	차르나예프
Tsarnaev	차르나예프
Pike	파이크
Rosamund	로저먼드
Higginbottom	히긴보텀
Heather	헤더
Groser	그로서
Tim	팀
Foxx	폭스
Anthony	앤서니
Hormats	호매츠
Robert	로버트
Novak	노백
David	데이비드
Johnson	존슨
Adam	애덤
Campion	캠피언
Jane	제인
Froman	프로먼
Michael	마이클
Havens	헤이븐스
Richie	리치
Holdren	홀드런
John	존
Diamond	다이아몬드
Jared	재러드
Murdoch	머독
Dame Elisabeth	엘리자베스
Moyes	모이스
David	데이비드
Kirby	커비
Michael	마이클
Russel	러셀
Daniel	대니얼
Chabot	섀벗
Steve	스티브
Scaparrotti	스캐퍼로티
Curtis	커티스
Dern	던
Bruce	브루스
Comey	코미
James B	제임스
Gershman	거슈먼
Carl	칼
Maholm	머홀름
Paul	폴
Miller	밀러
Steven	스티븐
Bumgarner	범가너
Madison	매디슨
Vermes	베르메시
Watt	와트
Mel	멜
Werfel	워펄
Daniel	대니얼
Gannett	개닛
Frank	프랭크
Neuharth	뉴하스
Al	앨
Diaz	다이애즈
Matt	맷
Luhrmann	루어먼
Baz	배즈
Udall	유돌
Mark	마크
Fuqua	퓨콰
Antoine	앤트완
Fuqua	퓨콰
Harvey	하비
Haines	헤인스
Avril	애브릴
Santa Clara	샌타클래라
Palo Alto	팰로앨토
Dern	던
Laura	로라
Dern	던
George	조지
Pascrell	패스크렐
Bill	빌
Page	페이지
Patti	패티
Ballard	밸러드
Robert	로버트
Bush	부시
Richard	리처드
Brookings	브루킹스
Robert S	로버트
Snowden	스노든
Edward	에드워드
Williams	윌리엄스
Esther	에스터
Giamatti	지어마티
A Bartlett	바틀릿
Giamatti	지어마티
Paul	폴
Leclerc	르클레르
Simon	시몽
Nagano	나가노
Kent	켄트
McLachlan	매클라클런
Sarah	세라
Kennedy	케네디
Douglas	더글러스
Fukunaga	후쿠나가
Cary	케리
Moavenzadeh	모아벤자데
Fred	프레드
MacLeish	매클리시
Andrew	앤드루
Broussard	브루사드
Israel	이즈리얼
Eckhart	엑하트
Aaron	에런
Verdery	버더리
Benjamin	벤저민
Verdery	버더리
Stewart	스튜어트
Curtis	커티스
Cyrus H	사이러스
Raskin	래스킨
Sarah Bloom	세라 블룸
Raskin	래스킨
Jamie	제이미
Roosevelt	루스벨트
Eleanor	엘리너
Bradley	브래들리
Omar	오마
Winnefeld	위너펠드
James A	제임스
Pershing	퍼싱
John J	존
Black	블랙
Fischer	피셔
Stone	스톤
Oliver	올리버
Koskinen	코스키넌
John	존
Mahan	메이핸
Hunter	헌터
Burns	번스
Ursula	어설라
Snedeker	스네데커
Brandt	브랜트
Coelho	쿠엘료
Andrew	앤드루
Chvojka	크보이카
Parisot	패리소
Dean	딘
Franchetti	프란체티
Lisa	리사
Drzik	더직
John	존
Luebkeman	룹커먼
Chris H	크리스
Slye	슬라이
Fintan	핀턴
Sigvaldason	시그월드슨
Oskar	오스카
Abib	아비브
Osmar	오즈마
Eibs Singer	아이브스 싱어
Christine	크리스틴
entrepreneur	안트러프러너
Shark	샤크
David	데이비드
Koehler	콜러
Michael	마이클
Taylor	테일러
Gilbert	길버트
Galbraith	갤브레이스
Robert	로버트
Burke	버크
Arleigh	알리
Samuel	새뮤얼
Xavier	제이비어
Cordesman	코더스먼
Anthony	앤서니
Frost	프로스트
David	데이비드
Hula	훌라
Ed	에드
Abbott	애벗
Tony	토니
Liberace	리버라치
Shirinian	시리니언
Emmanuel	이매뉴얼
de Blasio	더블라지오
Bill	빌
Lhota	로타
Joe	조
Leishman	리슈먼
Marc	마크
McCray	매크레이
Chirlane	셜레인
Riordan	라이어든
Rick	릭
Walken	워컨
Christopher	크리스토퍼
Poirier	포리에이
Dustin	더스틴
Paul	폴
Xavier	엑세비어
Schekman	셰크먼
Randy W	랜디
Shiller	실러
Robert J	로버트
Fama	파마
Eugene F	유진
Hansen	핸슨
Lars Peter	라스 피터
Etihad	에티하드
Rothman	로스먼
James E	제임스
Vernon	버넌
Tony	토니
Gyllenhaal	질런홀
Maggie	매기
Gyllenhaal	질런홀
Stephen	스티븐
Gyllenhaal	질런홀
Jake	제이크
Caviezel	커비즐
Jim	짐
Tunnicliff	터니클리프
Miles	마일스
McAuliffe	매콜리프
Terry	테리
Sarvis	사비스
Robert	로버트
Acker	애커
Amy	에이미
Egoyan	이고이언
Atom	애텀
Carpinello	카피넬로
James	제임스
Katzenberg	캐천버그
Jeffrey	제프리
Catton	캐턴
Eleanor	엘리너
Cuccinelli	쿠치넬리
Ken	켄
Plesac	플리색
Dan	댄
Matheny	머시니
Mike	마이크
Moraes	모레이스
Claude	클로드
Saltalamacchia	솔털러마키아
Jarrod	재러드
Ali	알리
Muhammad	무하마드
Riggleman	리글먼
Jim	짐
Ellsbury	엘즈버리
Jacoby	저코비
Wagner	와그너
Ashley	애슐리
Feige	파이기
Kevin	케빈
Christa	크리스타
Frances	프랜시스
Geffen	게펀
David	데이비드
DeRozan	더로전
DeMar	더마
Bordallo	보댈리오
Ricardo	리카도
Bordallo	보댈리오
Madeleine	매들린
Spiegel	스피걸
Evan	에번
Corbat	코뱃
Michael	마이클
Cruz	크루즈
Ted	테드
Hershiser	허샤이저
Orel	오렐
McConaughey	매코너헤이
Matthew	매슈
Sackhoff	새코프
Katee	케이티
Akerson	애커슨
Daniel	대니얼
Ifans	이반스
Rhys	리스
Moynihan	모이니핸
Brian	브라이언
Soames	솜스
Nicholas	니컬러스
Kendrick	켄드릭
Anna	애나
Lepeniotis	레페니오티스
Peter	피터
Leto	레토
Jared	재러드
Mattek-Sands	매틱샌즈
Bethanie	베서니
Schimel	시멀
Michelle	미셸
Krzanich	크러재니치
Brian	브라이언
Menendez	메넨데스
Bob	밥
Barra	배라
Mary	메리
Bouchard	부샤드
Eugenie	유지니
Weiner	위너
Anthony	앤서니
Couric	커릭
Katie	케이티
Halsman	홀스먼
Ver	비어
Roger	로저
Haren	해런
Dan	댄
Goldschmidt	골드슈밋
Paul	폴
Dunford	던퍼드
Joseph	조지프
Rebhorn	레브혼
James	제임스
Psaki	사키
Jen	젠
Aronofsky	애러노프스키
Darren	대런
Krauthammer	크라우트해머
Charles	찰스
Meyer	마이어
Stephenie	스테퍼니
McGehee	맥기히
Scott	스콧
Collins	콜린스
Suzanne	수잰
Koum	쿰
DeGette	디겟
Diana	다이애나
Kuchar	쿠처
Matt	맷
Blankfein	블랭크파인
Lloyd	로이드
Spieth	스피스
Jordan	조던
Watson	왓슨
Bubba	버바
Cote	코티
David	데이비드
Colbert	콜베어
Stephen	스티븐
Donofrio	도노프리오
Beverly	베벌리
du Toit	더토이
Elize	엘리즈
Seyfried	사이프리드
Amanda	어맨다
Ejiofor	에지오포
Chiwetel	추이텔
Korda	코르다
Jessica	제시카
Thompson	톰프슨
Lexi	렉시
Lorenz	로렌즈
Edward Norton	에드워드 노턴
Muilenburg	뮬런버그
Dennis	데니스
Blinken	블링컨
Tony	토니
Ogilvy	오길비
Geoff	제프
Alsop	올솝
Marin	마린
Novakovic	노바코비치
Phebe	피비
Manasse	머내시
Jon	존
Bremmer	브레머
Ian	이언
Baquet	바케이
Dean	딘
Castro	카스트로
Joaquin	호아킨
Blumenthal	블루먼솔
Richard	리처드
Spall	스폴
Timothy	티머시
Farage	패라지
Nigel	나이절
Nadella	나델라
Rachman	래크먼
Gideon	기디언
McCutchen	매커천
Andrew	앤드루
Miriklis	미리클리스
Freda	프리다
Earnest	어니스트
Josh	조시
Cumpton	컴프턴
Brandon	브랜던
Dafoe	더포
Willem	윌럼
Marsden	마스든
David	데이비드
Mehrabian	머레이비언
Salas	살라스
Lizette	리젯
Isner	이스너
John	존
Castro	카스트로
Ferdowsi	퍼도시
Falletta	펄레타
JoAnn	조앤
Petzel	페츨
Robert	로버트
Pulaski	펄래스키
Gaughran	고크런
Audrey	오드리
Rothkopf	로스코프
David	데이비드
McAvoy	매커보이
James	제임스
Moffat	모펏
Steven	스티븐
Perlis	펄리스
Michael	마이클
Raonic	라오니치
Roskam	로스컴
Peter	피터
Espaillat	에스파이야트
Adriano	아드리아노
Mottola	머톨라
Tommy	토미
Bauer	바워
Trevor	트레버
Caouette	카우엣
Jonathan	조너선
Cochran	코크런
Thad	새드
Grenier	그레니에이
Adrian	에이드리언
Grayling	그레일링
Chris	크리스
Dator	데이터
Jim	짐
Seiler	사일러
Sydney	시드니
Javid	자비드
Sajid	사지드
Kyrgios	키리오스
Nick	닉
Zanzi	잰지
Italo	이털로
Bewkes	뷰커스
Jeffrey	제프리
Steyer	스타이어
Tom	톰
Wintour	윈터
Anna	애나
Abedin	애버딘
Poloz	폴로즈
Stephen	스티븐
Gorsky	고스키
Alex	앨릭스
DePinto	디핀토
Joseph	조지프
Genevieve	제너비브
Banville	밴빌
John	존
Ventrell	벤트렐
Patrick	패트릭
Johnson	존슨
Lionel Pigot	라이어널
Ramirez	라미레스
Edith	이디스
Byatt	바이엇
A. S.	에이 에스
Bujalski	부잘스키
Andrew	앤드루
Syring	시링
James	제임스
Wojcicki	워치츠키
Anne	앤
West	웨스트
Kanye	카녜이
Khanna	카나
Friedel	프리들
Brad	브래드
Huizenga	하이징아
Bill	빌
Hensarling	헨설링
Jeb	젭
Liu	류
Joanne	조안
McEwan	매큐언
Ian	이언
Bisciglia	비실리아
Christophe	크리스토프
Silbermann	실버먼
Ben	벤
Silverman	실버먼
Ben	벤
Meijer LPGA Classic	마이어 엘피지에이 클래식 대회
Pincus	핑커스
Mark	마크
Keswick	케직
Chips	칩스
Carmichael	카마이클
Alistair	앨리스터
Gleeson	글리슨
Domhnall	도널
Eichengreen	아이컨그린
Barry	배리
Abrahamson	에이브러햄슨
Lenny	레니
Odierno	오디에어노
Raymond	레이먼드
Gartenstein-Ross	가튼스타인로스
Daveed	더비드
Griesa	그리세이
Thomas P	토머스
Moad	모드
Graeme	그레임
Moshinsky	모신스키
Elijah	일라이자
Scherer	셰어
Stephen W	스티븐
Ayoade	아이오아디
Richard	리처드
Kirzner	커즈너
Israel	이즈리얼
McDowell	맥다월
Graeme	그레임
Moerner	머너
William	윌리엄
Betzig	베치그
Eric	에릭
John	존
Begich	베기치
Mark	마크
Inhofe	인호프
Jim	짐
Rodriguez	로드리게스
Rico	리코
Mahone	머혼
Austin	오스틴
Brynjolfsson	브리뇰프슨
Erik	에릭
Shipka	십카
Kiernan	키어넌
Arquette	아켓
Patricia	퍼트리샤
Perahia	퍼라이아
Murray	머리
Eustace	유스터스
Alan	앨런
Grimes	그라임스
Alison Lundergan	앨리슨 런더건
Lerman	러먼
Logan	로건
Lynch	린치
Loretta	로레타
Malloy	멀로이
Dannel	대널
Aylward	에일워드
Bruce	브루스
Kasich	케이식
John	존
Tarullo	터룰로
Daniel	대니얼
Friedman	프리드먼
George	조지
Rosetta	로제타
Koepp	켑
David	데이비드
deGrom	디그롬
Jacob	제이컵
Manzullo	맨줄로
Donald	도널드
Mohammad Saleem Sa'yeb	모하마드 살림 사예브
Millepied	밀피에
Benjamin	뱅자맹
Brainard	브레이너드
Lael	레이얼
Chazelle	셔젤
Damien	데이미언
Comstock	콤스톡
Beth	베스
Kozlowski	커즐라우스키
Linda	린다
Kocherlakota	코철러코타
Narayana	나라야나
Thiel	틸
Peter	피터
Philae	필레
Van Andel	밴앤덜
Steve	스티브
Iribe	이리브
Brendan	브렌던
Fiery Cross Reef	파이어리크로스리프
Carter	카터
Ashton	애슈턴
Scherzer	셔저
Max	맥스
Carell	커렐
Steve	스티브
Pascal	파스칼
Amy	에이미
Nagpal	나그팔
Radhika	라디카
Vestberg	베스트베리
Hans	한스
Anka	앵카
Paul	폴
Petrovic	퍼트로빅
Tim	팀
Scalise	스컬리스
Steve	스티브
Emmert	에머트
Mark	마크
Kalanick	캘러닉
Travis	트래비스
Hoeven	호븐
John	존
Gruber	그루버
Jonathan	조너선
Bullard	불러드
James	제임스
Plosser	플로서
Charles	찰스
DiCamillo	디커밀로
Kate	케이트
Murthy	머시
Vivek	비벡
Kuchins	커친스
Andrew	앤드루
Laurent	로랑
Matt	맷
Favreau	패브로
Jon	존
Rae	레이
Corinne Bailey	커린 베일리
Melancon	멀랜슨
Mark	마크
Pederson	피더슨
Joc	족
Holdzkom	홀즈컴
John	존
Nussbaum	누스바움
Martha	마사
Urmson	엄슨
Chris	크리스
Fadell	퍼델
Tony	토니
Hanson	핸슨
Alen	앨런
Maris	메리스
Bill	빌
Viner	바이너
Katharine	캐서린
Bas	배스
Hernan	허넌
Sherman	셔먼
Cary	케리
Porat	포랫
Ruth	루스
Eberstadt	에버스탯
Nicholas	니컬러스
Mesoraco	메조라코
Devin	데빈
Grandal	그란달
Yasmani	야스마니
Granovetter	그래노베터
Mark	마크
Dalio	달리오
Ray	레이
DuVernay	듀버네이
Ava	에이바
LaFromboise	라프롬보이스
Bobby	보비
Leguizamo	레귀자모
John	존
Moncrieff	몽크리프
Suzie	수지
Baumol	보멀
William	윌리엄
Branagh	브래나
Kenneth	케네스
Schoenfield	쇼언필드
David	데이비드
Sanchez	샌체즈
Tony	토니
Spergel	스퍼걸
David	데이비드
Algieri	알지에리
Christopher	크리스토퍼
Aitken	에이킨
Brian	브라이언
Chossudovsky	초수도프스키
Michel	미셸
Trudeau	트뤼도
Justin	쥐스탱
Hancock	행콕
Herbie	허비
Bush	부시
Columba	컬럼바
Sires	시레스
Albio	알비오
Israel	이즈리얼
Steve	스티브
Merced	머세드
Benioff	베니오프
Marc	마크
Stoppelman	스토플먼
Jeremy	제러미
Senden	센든
John	존
Tomei	토메이
Marisa	머리사
Lowenthal	로언솔
Alan	앨런
Mazur	머주어
Dan	댄
Beyer	바이어
Don	돈
Sturgeon	스터전
Nicola	니컬라
Kisner	키스너
Kevin	케빈
Arapahoe	어래퍼호
Columbine	콜럼바인
Gamez	가메즈
Robert	로버트
Moriarty	모리아티
Liane	리안
Burnham	버넘
Andy	앤디
Martin	마틴
Umunna	우무나
Chuka	추카
Jindal	진덜
Bobby	보비
Poulter	폴터
Ian	이언
Hastings	헤이스팅스
Alcee	앨시
Varadkar	버라드커
Leo	리오
Karim	카림
Perrotta	퍼로타
Tom	톰
Menzel	멘젤
Idina	이디나
Ive	아이브
Jonathan	조너선
Sarasota	새러소타
Gundlach	건들락
Jeffrey	제프리
Knightley	나이틀리
Keira	키라
Delevingne	델러빈
Cara	카라
Baumbach	바움백
Noah	노아
Mbatha-Raw	음바타로
Gugu	구구
Oyelowo	오옐러워
David	데이비드
Woodall	우돌
Rob	롭
Wambach	웜백
Abby	애비
Zaslav	재슬러브
David	데이비드
Curry	커리
Topalian	토팰리언
Suzanne	수잰
Farenthold	패런솔드
Blake	블레이크
Poitras	포이트러스
Laura	로라
Whedon	휘던
Joss	조스
Ladbrokes	래드브룩스
Meanes	민스
Pamela	패멀라
Lovins	러빈스
Amory	에이머리
Lavery	레이버리
Bryony	브라이어니
Mohan	모한
Neal	닐
Micklethwait	미클스웨이트
John	존
Ebersman	에버스먼
David	데이비드
Enright	엔라이트
Michael	마이클
Koepka	켑카
Brooks	브룩스
Lloyd	로이드
Carli	칼리
Braun	브론
Ryan	라이언
Corbyn	코빈
Jeremy	제러미
Gillis	길리스
Tom	톰
Penetanguishene	페니탱귀신
Veihmeyer	비마이어
John	존
Cleaver	클리버
Emanuel	이매뉴얼
Hertz	허츠
Noreena	노리나
Bevin	베빈
Patrick	패트릭
Schakowsky	셔카우스키
Janice	재니스
Streb	스트렙
Robert	로버트
Guttenfelder	거튼펠더
David	데이비드
Mickelson	미컬슨
Phil	필
Beddoes	베도스
Zanny Minton	재니 민턴
Sanchez	샌체즈
Loretta	로레타
Linda	린다
Jackiw	재키브
Stefan	스테판
Jenneke	제너커
Michelle	미셸
Trevorrow	트러보로
Colin	콜린
Jenkins	젱킨스
Jarmere	저미어
San Rafael	샌러펠
Zappone	저폰
Katherine	캐서린
Haas	하스
Bill	빌
Rosenthal	로즌솔
Trevor	트레버
Berto	버토
Andre	앤드리
Todd	토드
Brendon	브렌던
Bruford	브루퍼드
Bill	빌
Isham	아이셤
Mark Ware	마크 웨어
Aguire	어과이어
Roberto	로버토
Campbell	캠벨
William	윌리엄
McDonald	맥도널드
Arthur	아서
Modrich	모드리치
Paul	폴
Karp	카프
David	데이비드
Deaton	디턴
Angus	앵거스
Duckworth	더크워스
James	제임스
Lessig	레시그
Lawrence	로런스
Magnussen	매그너슨
James	제임스
Merritt	메릿
Aries	에리스
Ledecky	러데키
Katie	케이티
Martin	마틴
Diarmuid	디어미드
Menkes	멩키스
Suzy	수지
Brown	브라운
Sherrod	셰러드
Sorrell	소럴
Martin	마틴
Echols	에컬스
Dondre	돈드레
Ewan	유언
Caleb	케일럽
Ricardo	리카르도
Kravitz	크래비츠
Lenny	레니
Vallejo	벌레이오
Monmouthshire	몬머스셔
McEvoy	매커보이
Cameron	캐머런
Baez	바에즈
Joan	존
Fukuda	후쿠다
Lasry	래즈리
Marc	마크
McAdam	매캐덤
Lowell	로웰
Chabriel	샤브리엘
Jeremy	제러미
Kauss	카우스
Sarah	세라
Hewson	휴슨
Marillyn	메릴린
Davis-Monthan	데이비스몬선
DeShields	디실즈
Delino	딜라이노
Carmen	카먼
Eric	에릭
Keitel	카이텔
Harvey	하비
Coghlan	코글런
Chris	크리스
Miller	밀러
Sienna	시에나
Princes Risborough	프린시스리즈버러
Gosar	고사
Paul	폴
Mulvaney	멀베이니
Mick	믹
Sarkar	사카
Reuben	루번
Weiner	위너
Russell	러셀
Johnson	존슨
Jeh	제이
Webb	웹
Karrie	카리
Ejogo	이조고
Carmen	카먼
Chafee	체이피
Lincoln	링컨
Turnbull	턴불
Malcolm	맬컴
Piller	필러
Gerina	저리나
Dallara	덜라라
Charles	찰스
Whitford	휫퍼드
Bradley	브래들리
Feldman	펠드먼
Scott	스콧
Milone	밀론
Tommy	토미
Conan	코넌
Pletka	플렛카
Danielle	대니엘
Janesville	제인즈빌
Dorsey	도시
Jack	잭
DeLaet	딜렛
Graham	그레이엄
Murkowski	머카우스키
Lisa	리사
Hsieh	셰이
Swire	스와이어
Hugo	휴고
Keuchel	카이클
Dallas	댈러스
Panay	퍼네이
Panos	파노스
Hassabis	허사비스
Demis	데미스
center facia	센터 페이샤
sophomore jinx	소퍼모어 징크스
Sonoma	서노마
Dozier	도저
Brian	브라이언
Morrissey	모리시
Helena	헬레나
Burton	버턴
Sarah	세라
skeleton	스켈레톤
Greenhalgh	그린핼시
Shaun	숀
Apatow	애퍼타우
Judd	저드
Ouseph	우세프
Rajiv	라지브
Mankiewicz	맹키위츠
Joseph	조지프
Mollenkopf	몰런코프
Steven	스티븐
Smith	스미스
Jada Pinkett	제이다 핑킷
Sharp	샤프
Isadore	이저도어
Klopp	클롭
Kenneth Hap	케네스 햅
Gaylord	게일로드
McCaughrean	매코크런
Mark	마크
Munoz	무뇨스
Oscar	오스카
Carvalho	커발로
Orlando	올랜도
Garland	갈런드
Merrick	메릭
Lewandowski	루언다우스키
Corey	코리
Lichtman	릭트먼
Allan	앨런
Kurzweil	커즈와일
Raymond	레이먼드
Willamette	윌래밋
Labrador	라브라도르
Asbury	애즈버리
Stefan	스테펀
Wolfsthal	울프스탈
